NAME: Methomyl
SCANNUMBER: -1
RETENTIONTIME: -1
RETENTIONINDEX: 1568.5
PRECURSORMZ: 162.09949
PRECURSORTYPE: [M]+
IONMODE: Positive
SPECTRUMTYPE: Centroid
FORMULA: C5H10N2O2S
INCHIKEY: UHXUZOCRWCRNSJ-UHFFFAOYSA-N
INCHI: 
SMILES: CC(=NOC(=O)NC)SC
AUTHORS: Price et al., RECETOX, Masaryk University (CZ)
COLLISIONENERGY: 70eV
INSTRUMENT: Q Exactive GC Orbitrap GC-MS/MS
INSTRUMENTTYPE: GC-EI-Orbitrap
IONIZATION: EI+
LICENSE: CC BY-NC
COMMENT: 
Num Peaks: 110
73.02837	16903	"Theoretical m/z 73.028954, Mass diff 0 (0 ppm), Formula C3H5O2"
76.03072	10458
77.03852	55828
79.04975	9290	"Theoretical m/z 79.050752, Mass diff 0 (0 ppm), Formula CH7N2O2"
80.06199	26028
85.02839	39961	"Theoretical m/z 85.028954, Mass diff 0 (0 ppm), Formula C4H5O2"
86.03612	19040	"Theoretical m/z 86.036779, Mass diff 0 (0 ppm), Formula C4H6O2"
87.06782	13790
88.02151	891636	"Theoretical m/z 88.021549, Mass diff 0 (0.44 ppm), SMILES N=C(C)SC, Annotation [C3H7NS-H]+, Rule of HR True"
88.05184	23965	"Theoretical m/z 88.052429, Mass diff 0 (0 ppm), Formula C4H8O2"
89.03852	58366
90.04639	36426
95.04911	12836
96.04435	12292	"Theoretical m/z 96.044939, Mass diff 0 (0 ppm), Formula C5H6NO"
96.05692	12003
97.0648	30023
102.04636	14828
104.06197	10082
105.02425	457739
105.06984	231677
106.04126	14948
115.03893	44487
115.05416	110491	"Theoretical m/z 115.054124, Mass diff -0.001 (0 ppm), Formula CH11N2O2S"
118.07757	27282
120.09324	13559
123.1167	13288
124.0518	9471
126.06743	26437
127.05403	21356	"Theoretical m/z 127.054124, Mass diff 0 (0 ppm), Formula C2H11N2O2S"
128.06192	77271
129.06975	239503
130.07762	33011
131.04901	20150
132.09323	16869
134.03607	11341
134.99275	13054
135.08029	23792
136.08372	16033
137.13235	10747
140.05753	10718
142.07762	12961
144.09322	54131
145.06471	9847
147.08029	22776
150.04625	18080
150.14023	12118
152.06198	15326
153.03688	10087
153.06973	78116
154.07759	15069
159.08032	16618
159.11673	21460
160.08821	13309
161.09598	13148
162.96973	13344
163.14796	21051
164.15591	11764
165.06982	308223
165.16376	27323
167.08142	17013
169.10101	30034
170.07248	14421
171.08046	14937
171.11664	75656
172.0881	18253
180.95346	19239
181.08563	17233
183.08037	19542
184.08824	66415
185.09598	80318
186.14015	47005
187.14798	18287
189.16353	12051
190.09846	13558
191.10634	19138
191.1429	20717
192.98039	29366
193.01683	16227
196.98486	20168
198.10402	15117
199.04224	13591
199.14815	21083
200.10414	22073
201.18477	28535
204.1144	11431
207.10172	13284
208.07289	17885
208.12437	13806
209.1326	9982
210.10397	15635
211.0752	9773
213.09102	31085
215.08533	9632
216.09352	9217
217.12218	20392
221.08461	22414
222.08371	9288
223.09651	10435
223.13255	15717
225.04279	20057
226.99532	20128
227.0397	12919
237.14844	13509
241.12259	9214
266.99887	24916
281.051	11337
301.01419	24282
302.01346	9684
325.98633	10304
434.99991	28265

